Name,RA_hms,DEC_dms,RA,DEC,kg5,u,g,r,i,z,iz,n86,NaI,clear,bowen,bcont,rcont,Ha_narrow,Ha_broad,Type,SpType,fname,Gaia_DR3_ID,Variability
HD271747,05:59:58.62,-66:06:08.91,89.99425,-66.102475,11.560,12.828,11.664,11.302,11.196,11.231,11.207,11.225,11.318,11.462,11.656,11.537,11.292,11.296,11.292,Secondary,G0,V2.SPSS346.ascii,4755812790042069888,
HD271759,06:00:41.34,-66:03:14.03,90.17225,-66.053897,10.918,11.864,10.859,10.878,10.982,11.121,11.023,11.114,10.840,10.942,10.785,10.832,11.037,11.055,11.037,Secondary,A2,V2.SPSS347.ascii,5476400477145058816,Constant
HD271783,06:02:11.36,-66:34:59.13,90.547333,-66.583092,12.028,13.219,12.125,11.782,11.696,11.790,11.724,11.770,11.793,11.945,12.115,12.001,11.778,11.779,11.778,Secondary,F5,V2.SPSS348.ascii,5284204302730217984,
WD0604-203,06:06:13.39,-20:21:07.20,91.555792,-20.352,11.989,11.788,11.849,12.271,12.588,12.922,12.680,12.849,12.206,12.121,11.782,11.953,12.451,12.459,12.451,Secondary,DA,V2.SPSS109.ascii,2941993086693170176,Constant
WD0621-376,06:23:12.63,-37:41:28.01,95.802625,-37.691114,11.942,11.374,11.816,12.328,12.718,13.083,12.817,13.004,12.249,12.100,11.768,11.968,12.510,12.520,12.510,Secondary,DA1,V2.SPSS110.ascii,5575007845317435648,Constant
HILT600,06:45:13.37,02:08:14.70,101.30571,2.1374167,10.474,10.774,10.454,10.453,10.529,10.658,10.568,10.610,10.435,10.495,10.447,10.422,10.522,10.524,10.522,Primary,B1,V2.SPSS024.ascii,3126052883671520896,Constant
WD0644+375,06:47:37.99,37:30:57.07,101.90829,37.515853,12.023,11.834,11.894,12.261,12.585,12.925,12.679,12.820,12.172,12.151,11.783,11.939,12.590,12.595,12.590,Secondary,DA2,V2.SPSS112.ascii,943770757800160384,
WD0646-253,06:48:56.09,-25:23:47.00,102.23371,-25.396389,13.568,13.220,13.436,13.866,14.225,14.525,14.308,14.480,13.778,13.707,13.335,13.528,14.158,14.169,14.158,Secondary,DA2,V2.SPSS173.ascii,2921786919133198848,Constant
G193-26,07:03:26.29,54:52:06.00,105.85954,54.868333,13.064,13.957,13.198,12.810,12.642,12.603,12.630,12.574,12.853,12.942,13.227,13.057,12.772,12.768,12.772,Secondary,G,V2.SPSS174.ascii,987911506794398976,Constant
WD0721-276,07:23:20.10,-27:47:21.60,110.83375,-27.789333,14.441,13.974,14.317,14.774,15.127,15.484,15.225,15.403,14.692,14.586,14.251,14.439,15.005,15.014,15.005,Secondary,DA1,V2.SPSS175.ascii,5612710511362093184,Constant
